capacity_1e4_m3_d,CH4_1e4_m3_yr,tier
2.5,11.804100000000002,II
5.0,31.899175,I
1.0,3.98388375,III
2.25,16.441425,II
0.5,2.75007425,III
0.6,1.528209375,III
1.25,5.2257734375,III
0.14,0.511511,III
0.25,0.983675,III
0.5,0.9415174999999999,III
2.75,13.37095375,II
2.0,8.88118,II
1.0,3.906595,III
3.5,12.480376562500002,II
7.0,21.345747499999998,I
2.0,13.869817499999998,II
1.0,3.513125,III
3.0,16.272795000000002,II
1.1,3.192025375,III
2.0,11.298210000000001,II
2.5,7.008684375,II
0.4,1.787478,III
9.0,68.61133124999999,I
3.0,16.357110000000002,II
3.0,18.14880375,II
3.0,21.58464,II
2.0,7.02625,II
1.5,8.9795475,III
1.5,6.0285225,III
3.0,22.796668125,II
1.0,7.648073125000002,III
1.7,10.606827000000001,III
5.0,42.1575,I
4.0,29.262926,II
4.0,12.253779999999999,II
7.5,59.86365,I
2.0,18.380670000000002,II
1.0,4.5530100000000004,III
2.0,12.085150000000002,II
4.0,40.358779999999996,II
2.0,19.392450000000004,II
0.5,2.7121324999999996,III
8.0,78.694,I
8.0,112.33568499999998,I
4.0,50.943123,II
4.0,36.311659999999996,II
4.0,31.719302999999996,II
18.0,169.6502115,I
14.0,92.07198000000001,I
4.0,28.89194,II
2.0,9.83675,II
4.0,24.456971000000003,II
6.0,44.18106,I
0.5,1.770615,III
1.0,7.18223275,III
1.0,5.199425000000001,III
1.0,4.94648,III
1.0,6.970040000000001,III
2.0,7.2300112500000004,II
6.0,45.530100000000004,I
4.0,21.697059999999997,II
3.0,16.673291250000002,II
2.0,21.022540000000003,II
2.0,7.08246,II
2.0,9.098993750000002,II
1.5,10.252704000000001,III
1.0,7.504035000000001,III
0.5,3.2573695000000003,III
2.0,19.6735,II
2.0,2.5083712499999997,II
3.0,12.57558225,II
9.0,61.51622400000001,I
3.0,16.260147749999998,II
2.0,13.4904,II
30.0,261.3765,I
22.0,158.51922625000003,I
15.0,68.29515,I
5.0,41.314350000000005,I
25.0,167.22475,I
4.0,26.6575925,II
4.0,28.105,II
2.5,2.80347375,II
2.0,1.191652,II
4.5,10.4972175,II
2.0,4.103330000000001,II
16.5,68.63241000000001,I
15.0,92.32492500000001,I
3.0,11.888415,II
4.0,15.851220000000001,II
5.0,27.82395,I
14.5,68.137762,I
4.0,20.123179999999998,II
1.0,4.83406,III
2.0,8.330322,II
2.0,15.851220000000001,II
1.0,5.424264999999999,III
1.5,4.848112500000001,III
0.5,1.7003525000000002,III
18.0,107.1727965,I
15.0,89.26850625,I
2.0,20.460440000000002,II
4.0,39.23458,II
3.0,7.451338125,II
3.0,8.515815,II
6.5,35.07504,I
4.0,21.58464,II
3.0,14.164919999999999,II
2.0,8.8109175,II
4.0,17.987199999999998,II
3.0,10.697465625,II
4.0,17.087840000000003,II
4.0,18.970875,II
60.0,323.7696,I
60.0,323.7696,I
10.0,53.9616,I
12.0,51.26352,I
30.0,128.1588,I
4.5,22.354014375000002,II
2.0,9.9351175,II
2.0,10.79232,II
6.0,28.329839999999997,I
10.0,42.71960000000001,I
16.0,86.33856,I
8.0,43.16928,I
16.0,86.33856,I
10.0,42.71960000000001,I
12.0,51.26352,I
8.0,39.74047,I
5.0,28.38605,I
10.0,56.7721,I
6.0,30.758112000000004,I
22.0,103.87607999999999,I
2.5,13.4904,II
5.0,28.38605,I
6.0,30.758112000000004,I
0.5,2.69808,III
0.5,2.838605,III
20.0,74.75930000000001,I
4.0,14.95186,II
1.0,3.3726,III
60.0,224.2779,I
2.0,11.35442,II
15.0,60.87543,I
11.0,46.99156000000001,I
6.0,32.37696,I
5.0,26.9808,I
7.5,42.579075,I
3.0,14.90267625,II
2.0,10.786699,II
0.5,2.69667475,III
5.0,26.9808,I
6.0,34.06326,I
3.0,17.03163,II
3.0,16.1800485,II
